statut;titreevent;type;jour1;jour2;lieu;adresse;codepostal;ville;affiche;tarif;organiseavec;autresinfos;lien;
passee;Din'en Brick 2024;Exposition;Samedi 24 février 2024 de 10h à 19h;Dimanche 25 février de 10h à 18h;Salle du Clos Gastel;20 Rue du Guinefort;22100;Dinan;dinan_expo_2024.jpg;5 ans et plus: 2€, moins de 5 ans: gratuit;Apel de l'école Dugesclin de Dinan;Petite restauration sur place;https://www.facebook.com/events/1113624270045646/;
passee;Animation Mairie de Chanverrie;Animation;Mercredi 13 mars 2024;;Mairie de Chanverrie;15 Rue de la Croix du Marché;85130;Chanverrie;animation.jpg;;;;;
avenir;Fou d'Brick 2024;Exposition;Samedi 23 mars 2024 de 14h à 19h (Accès PMR de 11h à 13h);Dimanche 24 mars 2024 de 10h à 17h;Salle des Noues;Allée des Noues;85130;Chanverrie;la_verrie_expo_2024.jpg;6 ans et plus: 2€, moins de 6 ans: gratuit;le Comité des Fêtes de La Verrie;Tombola, Atelier, Foodtruck sucré le samedi, salé le dimanche;https://www.facebook.com/profile.php?id=61556005517526;
avenir;Brickland 2024;Exposition;Samedi 30 mars 2024 de 10h à 19h (Accès PSH de 11h à 13h);Dimanche 31 mars 2024 de 10h à 18h;Espace Culturel l'Amphi;Place du Dr Paul Guyader;29290;Saint-Renan;saint_renan_expo_2024.jpg;Adulte: 3€, Enfant 3 ans et plus: 2€, Enfant moins de 3 ans: gratuit;le CFA-MFR de Saint-Renan;Jeux, Ateliers, Restauration, Tombola;;
masquee;Exposition Musée de Landevennec;Exposition & Animation;Novembre;2024;Musée de l'ancienne abbaye de Landévennec;Place Yann Landevenneg;29560;Landévennec;exposition.jpg;Compris dans l'entrée au musée;Musée de l'ancienne abbaye de Landévennec;Ateliers;https://www.musee-abbaye-landevennec.fr/site-mus%C3%A9e-jardin/concerts-%C3%A9v%C3%A8nements;
masquee;Exposition LEGO Rospordun;Exposition;Samedi 7 décembre 2024;Dimanche 8 décembre 2024;;;29140;Rospordun;exposition.jpg;;;;;
